Landmark Points,Mean LRE (mm),Std Dev LRE (mm)
Left MB vertical medial lobe connection,0.86,0.6
anterior upper commisure,2.8,1.61
center SEZ neuropil fusion,2.67,1.45
end of ventral nerve cord,3.62,3.09
left A6 nerve entry,4.87,2.41
left A7 nerve entry,5.18,3.02
left A8 nerve entry,5.11,2.43
left antennal nerve,2.17,1.07
left anterior LON nerve,1.22,0.71
left basal brain neuropil border posterior,2.76,1.07
left thoracic nerve entry T1,1.66,1.07
left thoracic nerve entry T2,1.39,0.8
left thoracic nerve entry T3,0.91,0.67
left tip of vertical lobe,0.91,0.71
left upper most anterior nerve entry,4.27,1.65
left upper peduncle,1.49,1.36
posterior upper commisure,2.51,0.91
right A6 nerve entry,5.32,2.9
right A7 nerve entry,5.17,2.77
right A8 nerve entry,5.2,2.91
right MB vertical medial lobe connection,1.04,0.9
right antennal nerve,2.52,0.96
right anterior LON nerve,1.19,0.71
right basal brain neuropil border posterior,2.73,1.15
right thoracic nerve entry T1,1.71,1.16
right thoracic nerve entry T2,1.46,0.86
right thoracic nerve entry T3,1.27,1.13
right tip of vertical lobe,1.14,0.81
right upper most anterior nerve entry,4.77,1.93
right upper peduncle,1.32,1.34
,,
Average,2.64,1.47
