,np_73F07_38E08_MB303B_022013B_scaled.points,np_73F07_38E08_MB303B_022013A_scaled.points,np_24H08_53F03_MB027B_020413A_scaled.points,np_14C08_15B01_MB011A_020613C_scaled.points,np_73H08_55A07_MB243A_022013B_scaled.points,np_58E02_32D11_MB043B_021713B_scaled.points,np_13F02_52H09_MB010B_021713B_scaled.points,np_60H12_14E09_MB049B_020113B_scaled.points,np_58E02_32D11_MB043B_020213A_scaled.points,np_33D07_10F07_MB033B_020613A_scaled.points,np_13F02_52H09_MB010B_021713A_scaled.points,np_58E02_22E04_MB042C_020213A_scaled.points,np_14E06_22B12_MB012B_020413B_scaled.points,np_58E02_87B09_MB045C_020213B_scaled.points,np_13F02_34E04_MB006B_020413B_scaled.points,np_52B07_52H01_MB262B_021713B_scaled.points,np_73H08_19F09_MB090A_021713A_scaled.points,np_14C08_15B01_MB011A_020613B_scaled.points,np_58E02_37E10_MB299C_021713A_scaled.points,np_73F07_30E11_MB302B_022013B_scaled.points,np_30C01_53H03_MB078C_021713B_scaled.points,std,mean
center SEZ neuropil fusion,0.46,0.65,4.03,4.03,2.42,0.46,2.1,0.46,2.47,2.05,2.25,2.42,2.05,4.23,4.13,2.1,0.0,4.13,2.59,0.65,0.91,1.31,2.23
right A8 nerve entry,4.01,4.13,1.02,5.33,2.2,2.2,2.2,2.47,2.59,5.85,2.25,2.74,4.77,3.27,0.91,2.47,2.25,5.52,3.54,2.25,2.47,1.36,3.07
left A6 nerve entry,2.25,4.13,0.65,7.15,4.26,4.26,2.47,3.07,3.07,5.41,2.25,2.33,2.25,4.66,0.91,2.1,3.42,5.21,5.43,2.25,2.47,1.59,3.33
right tip of vertical lobe,2.0,2.2,0.46,0.91,2.1,0.46,0.65,0.46,0.65,2.1,2.05,0.46,0.46,2.05,0.0,0.46,2.0,0.46,2.05,0.46,0.0,0.77,1.18
left upper peduncle,0.46,0.65,2.0,2.05,2.05,0.65,2.05,0.46,0.65,1.02,2.1,1.29,0.0,0.0,0.65,2.05,0.0,2.1,0.46,0.46,2.1,0.72,1.29
left thoracic nerve entry T3,0.46,0.65,0.0,0.0,2.05,0.46,0.0,0.65,2.1,1.02,0.0,1.02,0.46,2.2,0.65,0.65,0.46,0.46,0.65,2.75,0.65,0.73,1.02
left basal brain neuropil border posterior,4.25,4.4,2.25,2.71,6.07,4.25,4.13,4.25,2.75,2.2,4.49,2.75,4.87,2.71,2.1,2.47,6.22,4.23,2.42,2.47,4.25,1.22,3.63
anterior upper commisure,2.1,4.23,0.0,2.42,0.0,4.05,0.46,2.05,4.13,0.46,0.0,2.25,4.1,4.4,4.13,0.46,0.91,0.46,2.0,2.05,0.0,1.47,2.39
right anterior LON nerve,0.46,1.88,1.44,1.44,1.02,2.05,2.05,0.91,2.1,2.78,0.91,2.05,2.25,2.59,1.94,2.25,2.1,0.65,2.2,1.02,2.25,0.65,1.73
right MB vertical medial lobe connection,2.05,2.1,2.1,2.74,0.91,1.02,0.46,2.0,0.0,0.46,1.65,1.02,1.65,0.91,0.91,3.9,0.65,0.0,1.44,0.65,0.0,0.87,1.48
end of ventral nerve cord,4.57,3.04,1.37,3.77,0.91,0.46,2.74,0.46,0.91,2.2,1.37,2.05,1.02,0.0,0.46,1.83,0.65,4.14,0.65,0.65,1.83,1.26,1.75
left thoracic nerve entry T1,0.91,2.05,0.46,0.46,0.46,1.02,0.0,0.91,1.02,0.46,0.46,2.0,0.0,2.28,0.0,2.05,0.46,0.46,0.65,0.46,0.46,0.65,0.95
right basal brain neuropil border posterior,4.25,4.61,2.25,2.2,6.09,4.1,4.03,4.25,2.59,2.05,4.13,2.1,4.44,2.05,2.2,2.25,6.29,4.25,2.1,2.2,4.03,1.32,3.45
right thoracic nerve entry T1,0.0,2.59,0.65,0.46,1.29,0.65,0.65,0.46,0.46,0.65,0.91,2.25,0.46,3.8,0.91,2.1,0.91,0.46,0.65,0.91,1.02,0.87,1.11
left upper most anterior nerve entry,6.46,2.58,6.29,6.17,6.94,3.57,4.41,5.34,3.66,7.37,4.66,3.8,4.75,5.36,4.93,2.75,2.46,6.29,4.38,4.52,5.33,1.38,4.86
left A7 nerve entry,4.19,4.1,2.47,5.43,2.1,4.25,5.48,4.03,4.75,5.43,2.38,4.38,2.75,5.44,0.65,2.1,2.25,5.83,4.59,4.05,4.03,1.39,3.84
left A8 nerve entry,2.25,4.13,1.44,5.43,2.47,2.2,2.25,2.86,3.42,5.01,2.47,3.68,3.33,5.07,1.65,2.1,2.25,6.39,3.39,2.42,2.2,1.31,3.16
right upper peduncle,0.46,0.65,2.1,2.0,2.05,1.02,2.05,0.46,0.46,0.46,2.05,2.28,0.46,0.46,0.0,2.0,0.0,2.2,0.46,0.65,2.05,0.78,1.28
right upper most anterior nerve entry,7.88,4.21,6.57,6.92,8.47,4.14,4.41,7.09,4.99,8.51,4.19,4.77,5.17,5.9,6.14,3.85,2.46,6.22,4.77,4.33,4.66,1.58,5.51
Left MB vertical medial lobe connection,2.0,2.1,2.2,2.28,1.83,0.65,0.65,2.05,0.65,0.46,0.65,0.65,0.65,0.46,0.91,2.04,0.46,0.46,0.0,1.02,1.02,0.69,1.16
left anterior LON nerve,1.29,0.46,0.46,0.91,0.46,2.05,2.25,2.2,2.47,2.25,0.91,2.05,2.1,2.05,1.02,2.0,2.0,1.02,2.0,0.46,2.05,0.7,1.55
left thoracic nerve entry T2,0.46,0.46,2.25,1.02,0.46,0.0,0.0,2.42,0.91,0.46,0.46,0.46,2.1,0.46,0.46,0.65,0.46,0.0,1.29,0.91,0.46,0.66,0.9
right A6 nerve entry,2.05,4.61,0.91,8.51,4.99,3.17,2.42,3.42,2.71,5.9,2.2,2.74,2.42,4.59,0.91,2.0,3.8,6.46,6.28,2.71,2.38,1.91,3.58
left antennal nerve,2.47,0.0,3.17,2.2,0.46,2.59,2.86,0.91,2.86,2.25,1.65,3.17,0.46,2.1,0.0,0.0,0.46,2.75,0.65,1.37,1.02,0.96,1.86
right thoracic nerve entry T3,0.65,1.02,0.91,4.21,2.47,1.44,0.46,1.02,2.25,2.74,0.65,1.02,1.02,3.42,1.02,1.37,1.02,0.46,0.46,2.38,0.65,1.02,1.46
right A7 nerve entry,4.59,4.03,2.1,7.63,2.05,4.05,3.88,4.1,2.1,6.84,2.2,3.77,4.94,4.03,0.0,2.05,2.1,8.65,3.51,4.03,4.05,1.82,4.04
right thoracic nerve entry T2,1.02,0.46,2.05,1.02,1.65,0.0,0.65,2.05,1.29,1.02,0.65,1.29,2.1,0.91,1.02,0.65,0.46,0.91,1.02,1.02,1.02,0.49,1.11
posterior upper commisure,2.1,2.1,2.1,2.05,2.25,2.2,2.1,0.46,2.05,2.0,2.25,2.2,2.1,0.46,4.23,2.05,2.2,0.65,1.02,0.46,4.1,0.96,1.96
right antennal nerve,2.25,1.83,3.04,2.86,1.88,4.19,2.25,4.85,2.38,2.75,1.44,2.38,1.44,2.75,2.66,1.44,0.91,2.25,1.44,3.29,0.65,0.99,2.33
left tip of vertical lobe,2.05,2.05,0.46,0.0,2.05,0.46,0.65,0.0,0.46,2.05,2.1,0.65,1.02,2.1,0.0,0.0,2.2,0.46,2.05,0.65,0.0,0.75,1.34
