,Larvalign,,Vanilla,,Landmark,
,mean,std,mean,std,mean,std
Left MB vertical medial lobe connection,0.97,0.66,0.78,0.62,1.1,0.72
anterior upper commisure,1.52,1.14,2.4,1.79,1.94,1.62
center SEZ neuropil fusion,2.75,1.36,2.67,1.45,2.12,1.36
end of ventral nerve cord,1.39,0.99,3.62,3.09,1.67,1.28
left A6 nerve entry,3.1,0.93,4.87,2.41,3.33,1.59
left A7 nerve entry,2.96,1.3,5.18,3.02,3.84,1.39
left A8 nerve entry,2.97,0.96,5.11,2.43,3.16,1.31
left antennal nerve,1.95,1.33,2.06,1.14,1.59,1.1
left anterior LON nerve,1.43,0.78,1.16,0.74,1.55,0.7
left basal brain neuropil border posterior,4.19,1.52,2.76,1.07,3.63,1.22
left thoracic nerve entry T1,1.65,0.68,1.58,1.1,0.81,0.69
left thoracic nerve entry T2,0.83,0.62,1.06,0.92,0.77,0.68
left thoracic nerve entry T3,1.03,0.82,0.69,0.7,0.83,0.77
left tip of vertical lobe,0.69,0.67,0.61,0.72,1.02,0.87
left upper most anterior nerve entry,3.84,1.91,4.27,1.65,4.86,1.38
left upper peduncle,0.89,0.82,1.21,1.36,1.11,0.8
posterior upper commisure,2.59,1.2,2.51,0.91,1.96,0.96
right A6 nerve entry,3,1.01,5.32,2.9,3.58,1.91
right A7 nerve entry,3.05,1.21,5.17,2.77,3.84,1.97
right A8 nerve entry,2.92,0.97,5.2,2.91,3.07,1.36
right MB vertical medial lobe connection,0.87,0.77,0.8,0.9,1.27,0.96
right antennal nerve,2.01,1.02,2.52,0.96,2.33,0.99
right anterior LON nerve,1.52,0.84,1.19,0.71,1.73,0.65
right basal brain neuropil border posterior,4.12,1.66,2.6,1.27,3.45,1.32
right thoracic nerve entry T1,1.61,0.68,1.71,1.16,1.06,0.88
right thoracic nerve entry T2,0.94,0.53,1.46,0.86,1.06,0.53
right thoracic nerve entry T3,1,0.82,1.02,1.13,1.46,1.02
right tip of vertical lobe,0.67,0.55,0.6,0.82,1.07,0.81
right upper most anterior nerve entry,3.94,2.72,4.77,1.93,5.51,1.58
right upper peduncle,1.14,0.73,1.26,1.34,1.16,0.83
,,,,,,
Average,2.05,1.04,2.54,1.49,2.2,1.11
